"district","count","no","count_per_st"
"宝山区",167492,316,530.037974683544
"崇明区",83283,186,447.758064516129
"奉贤区",103862,208,499.336538461538
"虹口区",144421,245,589.473469387755
"黄浦区",220097,451,488.019955654102
"嘉定区",195837,316,619.737341772152
"金山区",75100,198,379.292929292929
"静安区",272664,445,612.72808988764
"闵行区",533500,470,1135.10638297872
"浦东新区",891074,1398,637.391988555079
"普陀区",267790,319,839.467084639498
"青浦区",190733,244,781.69262295082
"松江区",209787,297,706.353535353535
"徐汇区",311953,447,697.881431767338
"杨浦区",195151,287,679.968641114983
"长宁区",222041,310,716.261290322581
"Unknown",9011,23,391.782608695652
